Park,Camp site,Department,County,Trail,Lines,Transit endpoint,Estimated optimal transit time (hours),Hike (miles),Fares,Site fee,Type,Bathroom type,Requires Reservations,Has Available Reservations,Open,Water,Notes,Link
Samuel P. Taylor SP,Lower Campground & Orchid Hill Loop,California State Parks,Marin,Bay Area Ridge Trail,GGT 101 - Marin Transit 68,8185 Sir Francis Drake Blvd,3,0,$12.30,$7.00,Hike & bike,"Gendered stalls, has sink and soap, coin-op showers",No,n/a,Yes,Yes,"Near town, biked in from Larkspur ferry",https://www.parks.ca.gov/?page_id=469
China Camp SP,Back Ranch Meadows,California State Parks,Marin,,GGT 150 - Marin Transit 233,Vendola Dr & Estancia Way,2.5,1.5,$12.30,$5.00,Hike & bike,Single occupancy,No,n/a,Yes,Yes,Small park. stay at HB2,https://www.parks.ca.gov/?page_id=466
Point Reyes National Seashore,Sky Campground,National Park Service,Marin,,GGT 101 - Marin Transit 68,Bear Valley Visitor Center,3,3,$12.30,$30.00,,,Yes,Yes,Yes,Yes,,https://www.nps.gov/pore/planyourvisit/campgrounds.htm
Point Reyes National Seashore,Wildcat Campground,National Park Service,Marin,,GGT 101 - Marin Transit 68,Bear Valley Visitor Center,3,6,$12.30,$30.00,,,Yes,Yes,Yes,Yes,,https://www.nps.gov/pore/planyourvisit/campgrounds.htm
Point Reyes National Seashore,Coast Campground,National Park Service,Marin,,GGT 101 - Marin Transit 68,Bear Valley Visitor Center,3,6,$12.30,$30.00,,,Yes,Yes,Yes,Yes,,https://www.nps.gov/pore/planyourvisit/campgrounds.htm
Point Reyes National Seashore,Glen Campground,National Park Service,Marin,,GGT 101 - Marin Transit 68,Bear Valley Visitor Center,3,4.5,$12.30,$30.00,,,Yes,Yes,Yes,Yes,,https://www.nps.gov/pore/planyourvisit/campgrounds.htm
Point Reyes National Seashore,Tomales Bay Campground,National Park Service,Marin,,,,,-,,$30.00,Boat-in,,Yes,Yes,Yes,No,,https://www.nps.gov/pore/planyourvisit/campgrounds.htm
Mount Tamalpais SP,Pantoll & Bootjack,California State Parks,Marin,Bay Area Ridge Trail,GGT 150/130 - Marin Transit 61,Panoramic Hwy & Pantoll Ranger Station,2,0,$12.30,$7.00,Hike & bike,"Single occupancy vault toilet, has sink and soap",No,n/a,Yes,Yes,Lovely,https://www.parks.ca.gov/?page_id=471
Mount Tamalpais SP,Steep Ravine,California State Parks,Marin,,GGT 150/130 - Marin Transit 61,4813 Shoreline Hwy,3,2,$12.30,$25.00,Environmental camp & cabins,,Yes,No,Yes,Yes,,https://www.parks.ca.gov/?page_id=471
Golden Gate National Recreation Area,Kirby Cove,National Park Service,Marin,Bay Area Ridge Trail,GGT 150/130,US-101 Off-Ramp,1.5,1.5,$9.80,$40.00,,,Yes,No,Yes,No,,https://www.recreation.gov/camping/campgrounds/232491
